pmid,year,title,journal,doi,first_author,n_authors,authors_full,theme,pub_types,screen_decision,exclusion_reason,abstract,blob,_journal_l,_homonym,_tkey,relevance_score
32793768,2020,Ontology-driven weak supervision for clinical entity classification in electronic health records.,ArXiv,10.5281/zenodo.4497214,"Fries, J. A.",7,"Fries, J. A.; Steinberg, E.; Khattar, S.; Fleming, S. L.; Posada, J.; Callahan, A.; Shah, N. H.",T3 Weak supervision,Preprint; Journal Article,include,Preprint - not peer reviewed (inclusion criterion),"In the electronic health record, using clinical notes to identify entities such as disorders and their temporality (e.g. the order of an event relative to a time index) can inform many important analyses. However, creating training data for clinical entity tasks is time consuming and sharing labeled data is challenging due to privacy concerns. The information needs of the COVID-19 pandemic highlight the need for agile methods of training machine learning models for clinical notes. We present Trove, a framework for weakly supervised entity classification using medical ontologies and expert-generated rules. Our approach, unlike hand-labeled notes, is easy to share and modify, while offering performance comparable to learning from manually labeled training data. In this work, we validate our framework on six benchmark tasks and demonstrate Trove's ability to analyze the records of patients visiting the emergency department at Stanford Health Care for COVID-19 presenting symptoms and risk factors.","ontology-driven weak supervision for clinical entity classification in electronic health records. in the electronic health record, using clinical notes to identify entities such as disorders and their temporality (e.g. the order of an event relative to a time index) can inform many important analyses. however, creating training data for clinical entity tasks is time consuming and sharing labeled data is challenging due to privacy concerns. the information needs of the covid-19 pandemic highlight the need for agile methods of training machine learning models for clinical notes. we present trove, a framework for weakly supervised entity classification using medical ontologies and expert-generated rules. our approach, unlike hand-labeled notes, is easy to share and modify, while offering performance comparable to learning from manually labeled training data. in this work, we validate our framework on six benchmark tasks and demonstrate trove's ability to analyze the records of patients visiting the emergency department at stanford health care for covid-19 presenting symptoms and risk factors.",arxiv,,,
37034815,2023,The SMART Text2FHIR Pipeline.,medRxiv : the preprint server for health sciences,10.1101/2023.01.19.23284738v1,"Miller, T. A.",5,"Miller, T. A.; McMurry, A. J.; Jones, J.; Gottlieb, D.; Mandl, K. D.",T2 Rule-based vs ML,Preprint; Journal Article,include,Preprint - not peer reviewed (inclusion criterion),"To implement an open source, free, and easily deployable high throughput natural language processing module to extract concepts from clinician notes and map them to Fast Healthcare Interoperability Resources (FHIR). Using a popular open-source NLP tool (Apache cTAKES), we create FHIR resources that use modifier extensions to represent negation and NLP sourcing, and another extension to represent provenance of extracted concepts. The SMART Text2FHIR Pipeline is an open-source tool, released through standard package managers, and publicly available container images that implement the mappings, enabling ready conversion of clinical text to FHIR. With the increased data liquidity because of new interoperability regulations, NLP processes that can output FHIR can enable a common language for transporting structured and unstructured data. This framework can be valuable for critical public health or clinical research use cases. Future work should include mapping more categories of NLP-extracted information into FHIR resources and mappings from additional open-source NLP tools.","the smart text2fhir pipeline. to implement an open source, free, and easily deployable high throughput natural language processing module to extract concepts from clinician notes and map them to fast healthcare interoperability resources (fhir). using a popular open-source nlp tool (apache ctakes), we create fhir resources that use modifier extensions to represent negation and nlp sourcing, and another extension to represent provenance of extracted concepts. the smart text2fhir pipeline is an open-source tool, released through standard package managers, and publicly available container images that implement the mappings, enabling ready conversion of clinical text to fhir. with the increased data liquidity because of new interoperability regulations, nlp processes that can output fhir can enable a common language for transporting structured and unstructured data. this framework can be valuable for critical public health or clinical research use cases. future work should include mapping more categories of nlp-extracted information into fhir resources and mappings from additional open-source nlp tools.",medrxiv : the preprint server for health sciences,,,
37546941,2023,Natural Language Processing Can Automate Extraction of Barrett's Esophagus Endoscopy Quality Metrics.,medRxiv : the preprint server for health sciences,10.1101/2023.07.11.23292529,"Soroush, A.",7,"Soroush, A.; Diamond, C. J.; Zylberberg, H. M.; May, B.; Tatonetti, N.; Abrams, J. A.; Weng, C.",T1 Endoscopy report NLP,Preprint; Journal Article,include,Preprint - not peer reviewed (inclusion criterion),"To develop an automated natural language processing (NLP) method for extracting high-fidelity Barrett's Esophagus (BE) endoscopic surveillance and treatment data from the electronic health record (EHR). Patients who underwent BE-related endoscopies between 2016 and 2020 at a single medical center were randomly assigned to a development or validation set. Those not aged 40 to 80 and those without confirmed BE were excluded. For each patient, free text pathology reports and structured procedure data were obtained. Gastroenterologists assigned ground truth labels. An NLP method leveraging MetaMap Lite generated endoscopy-level diagnosis and treatment data. Performance metrics were assessed for this data. The NLP methodology was then adapted to label key endoscopic eradication therapy (EET)-related endoscopy events and thereby facilitate calculation of patient-level pre-EET diagnosis, endotherapy time, and time to CE-IM. 99 patients (377 endoscopies) and 115 patients (399 endoscopies) were included in the development and validation sets respectively. When assigning high-fidelity labels to the validation set, NLP achieved high performance (recall: 0.976, precision: 0.970, accuracy: 0.985, and F1-score: 0.972). 77 patients initiated EET and underwent 554 endoscopies. Key EET-related clinical event labels had high accuracy (EET start: 0.974, CE-D: 1.00, and CE-IM: 1.00), facilitating extraction of pre-treatment diagnosis, endotherapy time, and time to CE-IM. High-fidelity BE endoscopic surveillance and treatment data can be extracted from routine EHR data using our automated, transparent NLP method. This method produces high-level clinical datasets for clinical research and quality metric assessment.","natural language processing can automate extraction of barrett's esophagus endoscopy quality metrics. to develop an automated natural language processing (nlp) method for extracting high-fidelity barrett's esophagus (be) endoscopic surveillance and treatment data from the electronic health record (ehr). patients who underwent be-related endoscopies between 2016 and 2020 at a single medical center were randomly assigned to a development or validation set. those not aged 40 to 80 and those without confirmed be were excluded. for each patient, free text pathology reports and structured procedure data were obtained. gastroenterologists assigned ground truth labels. an nlp method leveraging metamap lite generated endoscopy-level diagnosis and treatment data. performance metrics were assessed for this data. the nlp methodology was then adapted to label key endoscopic eradication therapy (eet)-related endoscopy events and thereby facilitate calculation of patient-level pre-eet diagnosis, endotherapy time, and time to ce-im. 99 patients (377 endoscopies) and 115 patients (399 endoscopies) were included in the development and validation sets respectively. when assigning high-fidelity labels to the validation set, nlp achieved high performance (recall: 0.976, precision: 0.970, accuracy: 0.985, and f1-score: 0.972). 77 patients initiated eet and underwent 554 endoscopies. key eet-related clinical event labels had high accuracy (eet start: 0.974, ce-d: 1.00, and ce-im: 1.00), facilitating extraction of pre-treatment diagnosis, endotherapy time, and time to ce-im. high-fidelity be endoscopic surveillance and treatment data can be extracted from routine ehr data using our automated, transparent nlp method. this method produces high-level clinical datasets for clinical research and quality metric assessment.",medrxiv : the preprint server for health sciences,,,
37547660,2023,Weakly Supervised AI for Efficient Analysis of 3D Pathology Samples.,ArXiv,,"Song, A. H.",11,"Song, A. H.; Williams, M.; Williamson, D. F. K.; Jaume, G.; Zhang, A.; Chen, B.; Serafin, R.; Liu, J. T. C.; Baras, A.; Parwani, A. V.; Mahmood, F.",T3 Weak supervision,Preprint; Journal Article,include,Preprint - not peer reviewed (inclusion criterion),"Human tissue consists of complex structures that display a diversity of morphologies, forming a tissue microenvironment that is, by nature, three-dimensional (3D). However, the current standard-of-care involves slicing 3D tissue specimens into two-dimensional (2D) sections and selecting a few for microscopic evaluation1,2, with concomitant risks of sampling bias and misdiagnosis3-6. To this end, there have been intense efforts to capture 3D tissue morphology and transition to 3D pathology, with the development of multiple high-resolution 3D imaging modalities7-18. However, these tools have had little translation to clinical practice as manual evaluation of such large data by pathologists is impractical and there is a lack of computational platforms that can efficiently process the 3D images and provide patient-level clinical insights. Here we present Modality-Agnostic Multiple instance learning for volumetric Block Analysis (MAMBA), a deep-learning-based platform for processing 3D tissue images from diverse imaging modalities and predicting patient outcomes. Archived prostate cancer specimens were imaged with open-top light-sheet microscopy12-14 or microcomputed tomography15,16 and the resulting 3D datasets were used to train risk-stratification networks based on 5-year biochemical recurrence outcomes via MAMBA. With the 3D block-based approach, MAMBA achieves an area under the receiver operating characteristic curve (AUC) of 0.86 and 0.74, superior to 2D traditional single-slice-based prognostication (AUC of 0.79 and 0.57), suggesting superior prognostication with 3D morphological features. Further analyses reveal that the incorporation of greater tissue volume improves prognostic performance and mitigates risk prediction variability from sampling bias, suggesting that there is value in capturing larger extents of spatially heterogeneous 3D morphology. With the rapid growth and adoption of 3D spatial biology and pathology techniques by researchers and clinicians, MAMBA provides a general and efficient framework for 3D weakly supervised learning for clinical decision support and can help to reveal novel 3D morphological biomarkers for prognosis and therapeutic response.","weakly supervised ai for efficient analysis of 3d pathology samples. human tissue consists of complex structures that display a diversity of morphologies, forming a tissue microenvironment that is, by nature, three-dimensional (3d). however, the current standard-of-care involves slicing 3d tissue specimens into two-dimensional (2d) sections and selecting a few for microscopic evaluation1,2, with concomitant risks of sampling bias and misdiagnosis3-6. to this end, there have been intense efforts to capture 3d tissue morphology and transition to 3d pathology, with the development of multiple high-resolution 3d imaging modalities7-18. however, these tools have had little translation to clinical practice as manual evaluation of such large data by pathologists is impractical and there is a lack of computational platforms that can efficiently process the 3d images and provide patient-level clinical insights. here we present modality-agnostic multiple instance learning for volumetric block analysis (mamba), a deep-learning-based platform for processing 3d tissue images from diverse imaging modalities and predicting patient outcomes. archived prostate cancer specimens were imaged with open-top light-sheet microscopy12-14 or microcomputed tomography15,16 and the resulting 3d datasets were used to train risk-stratification networks based on 5-year biochemical recurrence outcomes via mamba. with the 3d block-based approach, mamba achieves an area under the receiver operating characteristic curve (auc) of 0.86 and 0.74, superior to 2d traditional single-slice-based prognostication (auc of 0.79 and 0.57), suggesting superior prognostication with 3d morphological features. further analyses reveal that the incorporation of greater tissue volume improves prognostic performance and mitigates risk prediction variability from sampling bias, suggesting that there is value in capturing larger extents of spatially heterogeneous 3d morphology. with the rapid growth and adoption of 3d spatial biology and pathology techniques by researchers and clinicians, mamba provides a general and efficient framework for 3d weakly supervised learning for clinical decision support and can help to reveal novel 3d morphological biomarkers for prognosis and therapeutic response.",arxiv,,,
38045411,2023,Phenotype-Driven Molecular Genetic Test Recommendation for Diagnosing Pediatric Rare Disorders.,Research square,10.1001/jama.2023.19137,"Chen, F.",7,"Chen, F.; Ahimaz, P.; Wang, K.; Chung, W. K.; Ta, C.; Weng, C.; Liu, C.",T3 Weak supervision,Preprint; Journal Article,include,Preprint - not peer reviewed (inclusion criterion),"Rare disease patients often endure prolonged diagnostic odysseys and may still remain undiagnosed for years. Selecting the appropriate genetic tests is crucial to lead to timely diagnosis. Phenotypic features offer great potential for aiding genomic diagnosis in rare disease cases. We see great promise in effective integration of phenotypic information into genetic test selection workflow. In this study, we present a phenotype-driven molecular genetic test recommendation (Phen2Test) for pediatric rare disease diagnosis. Phen2Test was constructed using frequency matrix of phecodes and demographic data from the EHR before ordering genetic tests, with the objective to streamline the selection of molecular genetic tests (whole-exome / whole-genome sequencing, or gene panels) for clinicians with minimum genetic training expertise. We developed and evaluated binary classifiers based on 1,005 individuals referred to genetic counselors for potential genetic evaluation. In the evaluation using the gold standard cohort, the model achieved strong performance with an AUROC of 0.82 and an AUPRC of 0.92. Furthermore, we tested the model on another silver standard cohort (n=6,458), achieving an overall AUROC of 0.72 and an AUPRC of 0.671. Phen2Test was adjusted to align with current clinical guidelines, showing superior performance with more recent data, demonstrating its potential for use within a learning healthcare system as a genomic medicine intervention that adapts to guideline updates. This study showcases the practical utility of phenotypic features in recommending molecular genetic tests with performance comparable to clinical geneticists. Phen2Test could assist clinicians with limited genetic training and knowledge to order appropriate genetic tests.","phenotype-driven molecular genetic test recommendation for diagnosing pediatric rare disorders. rare disease patients often endure prolonged diagnostic odysseys and may still remain undiagnosed for years. selecting the appropriate genetic tests is crucial to lead to timely diagnosis. phenotypic features offer great potential for aiding genomic diagnosis in rare disease cases. we see great promise in effective integration of phenotypic information into genetic test selection workflow. in this study, we present a phenotype-driven molecular genetic test recommendation (phen2test) for pediatric rare disease diagnosis. phen2test was constructed using frequency matrix of phecodes and demographic data from the ehr before ordering genetic tests, with the objective to streamline the selection of molecular genetic tests (whole-exome / whole-genome sequencing, or gene panels) for clinicians with minimum genetic training expertise. we developed and evaluated binary classifiers based on 1,005 individuals referred to genetic counselors for potential genetic evaluation. in the evaluation using the gold standard cohort, the model achieved strong performance with an auroc of 0.82 and an auprc of 0.92. furthermore, we tested the model on another silver standard cohort (n=6,458), achieving an overall auroc of 0.72 and an auprc of 0.671. phen2test was adjusted to align with current clinical guidelines, showing superior performance with more recent data, demonstrating its potential for use within a learning healthcare system as a genomic medicine intervention that adapts to guideline updates. this study showcases the practical utility of phenotypic features in recommending molecular genetic tests with performance comparable to clinical geneticists. phen2test could assist clinicians with limited genetic training and knowledge to order appropriate genetic tests.",research square,,,
38076830,2023,Scalable Incident Detection via Natural Language Processing and Probabilistic Language Models.,medRxiv : the preprint server for health sciences,10.1101/2023.11.30.23299249,"Walsh, C. G.",17,"Walsh, C. G.; Wilimitis, D.; Chen, Q.; Wright, A.; Kolli, J.; Robinson, K.; Ripperger, M. A.; Johnson, K. B.; Carrell, D.; Desai, R. J.; Mosholder, A.; Dharmarajan, S.; Adimadhyam, S.; Fabbri, D.; Stojanovic, D.; Matheny, M. E.; Bejan, C. A.",T3 Weak supervision,Preprint; Journal Article,include,Preprint - not peer reviewed (inclusion criterion),"Post marketing safety surveillance depends in part on the ability to detect concerning clinical events at scale. Spontaneous reporting might be an effective component of safety surveillance, but it requires awareness and understanding among healthcare professionals to achieve its potential. Reliance on readily available structured data such as diagnostic codes risk under-coding and imprecision. Clinical textual data might bridge these gaps, and natural language processing (NLP) has been shown to aid in scalable phenotyping across healthcare records in multiple clinical domains. In this study, we developed and validated a novel incident phenotyping approach using unstructured clinical textual data agnostic to Electronic Health Record (EHR) and note type. It's based on a published, validated approach (PheRe) used to ascertain social determinants of health and suicidality across entire healthcare records. To demonstrate generalizability, we validated this approach on two separate phenotypes that share common challenges with respect to accurate ascertainment: 1) suicide attempt; 2) sleep-related behaviors. With samples of 89,428 records and 35,863 records for suicide attempt and sleep-related behaviors, respectively, we conducted silver standard (diagnostic coding) and gold standard (manual chart review) validation. We showed Area Under the Precision-Recall Curve of ∼ 0.77 (95% CI 0.75-0.78) for suicide attempt and AUPR ∼ 0.31 (95% CI 0.28-0.34) for sleep-related behaviors. We also evaluated performance by coded race and demonstrated differences in performance by race were dissimilar across phenotypes and require algorithmovigilance and debiasing prior to implementation.","scalable incident detection via natural language processing and probabilistic language models. post marketing safety surveillance depends in part on the ability to detect concerning clinical events at scale. spontaneous reporting might be an effective component of safety surveillance, but it requires awareness and understanding among healthcare professionals to achieve its potential. reliance on readily available structured data such as diagnostic codes risk under-coding and imprecision. clinical textual data might bridge these gaps, and natural language processing (nlp) has been shown to aid in scalable phenotyping across healthcare records in multiple clinical domains. in this study, we developed and validated a novel incident phenotyping approach using unstructured clinical textual data agnostic to electronic health record (ehr) and note type. it's based on a published, validated approach (phere) used to ascertain social determinants of health and suicidality across entire healthcare records. to demonstrate generalizability, we validated this approach on two separate phenotypes that share common challenges with respect to accurate ascertainment: 1) suicide attempt; 2) sleep-related behaviors. with samples of 89,428 records and 35,863 records for suicide attempt and sleep-related behaviors, respectively, we conducted silver standard (diagnostic coding) and gold standard (manual chart review) validation. we showed area under the precision-recall curve of ∼ 0.77 (95% ci 0.75-0.78) for suicide attempt and aupr ∼ 0.31 (95% ci 0.28-0.34) for sleep-related behaviors. we also evaluated performance by coded race and demonstrated differences in performance by race were dissimilar across phenotypes and require algorithmovigilance and debiasing prior to implementation.",medrxiv : the preprint server for health sciences,,,
38352435,2024,Use of Noisy Labels as Weak Learners to Identify Incompletely Ascertainable Outcomes: A Feasibility Study with Opioid-Induced Respiratory Depression.,medRxiv : the preprint server for health sciences,10.1038/s41746-019-0168-zpublished,"Jeffery, A. D.",4,"Jeffery, A. D.; Fabbri, D.; Reeves, R. M.; Matheny, M. E.",T3 Weak supervision,Preprint; Journal Article,include,Preprint - not peer reviewed (inclusion criterion),"Assigning outcome labels to large observational data sets in a timely and accurate manner, particularly when outcomes are rare or not directly ascertainable, remains a significant challenge within biomedical informatics. We examined whether noisy labels generated from subject matter experts' heuristics using heterogenous data types within a data programming paradigm could provide outcomes labels to a large, observational data set. We chose the clinical condition of opioid-induced respiratory depression for our use case because it is rare, has no administrative codes to easily identify the condition, and typically requires at least some unstructured text to ascertain its presence. Using de-identified electronic health records of 52,861 post-operative encounters, we applied a data programming paradigm (implemented in the Snorkel software) for the development of a machine learning classifier for opioid-induced respiratory depression. Our approach included subject matter experts creating 14 labeling functions that served as noisy labels for developing a probabilistic Generative model. We used probabilistic labels from the Generative model as outcome labels for training a Discriminative model on the source data. We evaluated performance of the Discriminative model with a hold-out test set of 599 independently-reviewed patient records. The final Discriminative classification model achieved an accuracy of 0.977, an F1 score of 0.417, a sensitivity of 1.0, and an AUC of 0.988 in the hold-out test set with a prevalence of 0.83% (5/599). All of the confirmed Cases were identified by the classifier. For rare outcomes, this finding is encouraging because it reduces the number of manual reviews needed by excluding visits/patients with low probabilities. Application of a data programming paradigm with expert-informed labeling functions might have utility for phenotyping clinical phenomena that are not easily ascertainable from highly-structured data.","use of noisy labels as weak learners to identify incompletely ascertainable outcomes: a feasibility study with opioid-induced respiratory depression. assigning outcome labels to large observational data sets in a timely and accurate manner, particularly when outcomes are rare or not directly ascertainable, remains a significant challenge within biomedical informatics. we examined whether noisy labels generated from subject matter experts' heuristics using heterogenous data types within a data programming paradigm could provide outcomes labels to a large, observational data set. we chose the clinical condition of opioid-induced respiratory depression for our use case because it is rare, has no administrative codes to easily identify the condition, and typically requires at least some unstructured text to ascertain its presence. using de-identified electronic health records of 52,861 post-operative encounters, we applied a data programming paradigm (implemented in the snorkel software) for the development of a machine learning classifier for opioid-induced respiratory depression. our approach included subject matter experts creating 14 labeling functions that served as noisy labels for developing a probabilistic generative model. we used probabilistic labels from the generative model as outcome labels for training a discriminative model on the source data. we evaluated performance of the discriminative model with a hold-out test set of 599 independently-reviewed patient records. the final discriminative classification model achieved an accuracy of 0.977, an f1 score of 0.417, a sensitivity of 1.0, and an auc of 0.988 in the hold-out test set with a prevalence of 0.83% (5/599). all of the confirmed cases were identified by the classifier. for rare outcomes, this finding is encouraging because it reduces the number of manual reviews needed by excluding visits/patients with low probabilities. application of a data programming paradigm with expert-informed labeling functions might have utility for phenotyping clinical phenomena that are not easily ascertainable from highly-structured data.",medrxiv : the preprint server for health sciences,,,
38562701,2024,"Identifying Psychosis Episodes in Psychiatric Admission Notes via Rule-based Methods, Machine Learning, and Pre-Trained Language Models.",medRxiv : the preprint server for health sciences,10.18653/v1/W19-5006,"Hua, Y.",6,"Hua, Y.; Blackley, S. V.; Shinn, A. K.; Skinner, J. P.; Moran, L. V.; Zhou, L.",T2 Rule-based vs ML,Journal Article; Preprint,include,Preprint - not peer reviewed (inclusion criterion),"Early and accurate diagnosis is crucial for effective treatment and improved outcomes, yet identifying psychotic episodes presents significant challenges due to its complex nature and the varied presentation of symptoms among individuals. One of the primary difficulties lies in the underreporting and underdiagnosis of psychosis, compounded by the stigma surrounding mental health and the individuals' often diminished insight into their condition. Existing efforts leveraging Electronic Health Records (EHRs) to retrospectively identify psychosis typically rely on structured data, such as medical codes and patient demographics, which frequently lack essential information. Addressing these challenges, our study leverages Natural Language Processing (NLP) algorithms to analyze psychiatric admission notes for the diagnosis of psychosis, providing a detailed evaluation of rule-based algorithms, machine learning models, and pre-trained language models. Additionally, the study investigates the effectiveness of employing keywords to streamline extensive note data before training and evaluating the models. Analyzing 4,617 initial psychiatric admission notes (1,196 cases of psychosis versus 3,433 controls) from 2005 to 2019, we discovered that the XGBoost classifier employing Term Frequency-Inverse Document Frequency (TF-IDF) features derived from notes pre-selected by expert-curated keywords, attained the highest performance with an F1 score of 0.8881 (AUROC [95% CI]: 0.9725 [0.9717, 0.9733]). BlueBERT demonstrated comparable efficacy an F1 score of 0.8841 (AUROC [95% CI]: 0.97 [0.9580, 0.9820]) on the same set of notes. Both models markedly outperformed traditional International Classification of Diseases (ICD) code-based detection methods from discharge summaries, which had an F1 score of 0.7608, thus improving the margin by 0.12. Furthermore, our findings indicate that keyword pre-selection markedly enhances the performance of both machine learning and pre-trained language models. This study illustrates the potential of NLP techniques to improve psychosis detection within admission notes and aims to serve as a foundational reference for future research on applying NLP for psychosis identification in EHR notes.","identifying psychosis episodes in psychiatric admission notes via rule-based methods, machine learning, and pre-trained language models. early and accurate diagnosis is crucial for effective treatment and improved outcomes, yet identifying psychotic episodes presents significant challenges due to its complex nature and the varied presentation of symptoms among individuals. one of the primary difficulties lies in the underreporting and underdiagnosis of psychosis, compounded by the stigma surrounding mental health and the individuals' often diminished insight into their condition. existing efforts leveraging electronic health records (ehrs) to retrospectively identify psychosis typically rely on structured data, such as medical codes and patient demographics, which frequently lack essential information. addressing these challenges, our study leverages natural language processing (nlp) algorithms to analyze psychiatric admission notes for the diagnosis of psychosis, providing a detailed evaluation of rule-based algorithms, machine learning models, and pre-trained language models. additionally, the study investigates the effectiveness of employing keywords to streamline extensive note data before training and evaluating the models. analyzing 4,617 initial psychiatric admission notes (1,196 cases of psychosis versus 3,433 controls) from 2005 to 2019, we discovered that the xgboost classifier employing term frequency-inverse document frequency (tf-idf) features derived from notes pre-selected by expert-curated keywords, attained the highest performance with an f1 score of 0.8881 (auroc [95% ci]: 0.9725 [0.9717, 0.9733]). bluebert demonstrated comparable efficacy an f1 score of 0.8841 (auroc [95% ci]: 0.97 [0.9580, 0.9820]) on the same set of notes. both models markedly outperformed traditional international classification of diseases (icd) code-based detection methods from discharge summaries, which had an f1 score of 0.7608, thus improving the margin by 0.12. furthermore, our findings indicate that keyword pre-selection markedly enhances the performance of both machine learning and pre-trained language models. this study illustrates the potential of nlp techniques to improve psychosis detection within admission notes and aims to serve as a foundational reference for future research on applying nlp for psychosis identification in ehr notes.",medrxiv : the preprint server for health sciences,,,
38562731,2024,"Identifying Psychosis Episodes in Psychiatric Admission Notes via Rule-based Methods, Machine Learning, and Pre-Trained Language Models.",Research square,10.18653/v1/W19-5006,"Hua, Y.",6,"Hua, Y.; Blackley, S.; Shinn, A.; Skinner, J.; Moran, L.; Zhou, L.",T2 Rule-based vs ML,Journal Article; Preprint,include,Preprint - not peer reviewed (inclusion criterion),"Early and accurate diagnosis is crucial for effective treatment and improved outcomes, yet identifying psychotic episodes presents significant challenges due to its complex nature and the varied presentation of symptoms among individuals. One of the primary difficulties lies in the underreporting and underdiagnosis of psychosis, compounded by the stigma surrounding mental health and the individuals' often diminished insight into their condition. Existing efforts leveraging Electronic Health Records (EHRs) to retrospectively identify psychosis typically rely on structured data, such as medical codes and patient demographics, which frequently lack essential information. Addressing these challenges, our study leverages Natural Language Processing (NLP) algorithms to analyze psychiatric admission notes for the diagnosis of psychosis, providing a detailed evaluation of rule-based algorithms, machine learning models, and pre-trained language models. Additionally, the study investigates the effectiveness of employing keywords to streamline extensive note data before training and evaluating the models. Analyzing 4,617 initial psychiatric admission notes (1,196 cases of psychosis versus 3,433 controls) from 2005 to 2019, we discovered that the XGBoost classifier employing Term Frequency-Inverse Document Frequency (TF-IDF) features derived from notes pre-selected by expert-curated keywords, attained the highest performance with an F1 score of 0.8881 (AUROC [95% CI]: 0.9725 [0.9717, 0.9733]). BlueBERT demonstrated comparable efficacy an F1 score of 0.8841 (AUROC [95% CI]: 0.97 [0.9580,0.9820]) on the same set of notes. Both models markedly outperformed traditional International Classification of Diseases (ICD) code-based detection methods from discharge summaries, which had an F1 score of 0.7608, thus improving the margin by 0.12. Furthermore, our findings indicate that keyword pre-selection markedly enhances the performance of both machine learning and pre-trained language models. This study illustrates the potential of NLP techniques to improve psychosis detection within admission notes and aims to serve as a foundational reference for future research on applying NLP for psychosis identification in EHR notes.","identifying psychosis episodes in psychiatric admission notes via rule-based methods, machine learning, and pre-trained language models. early and accurate diagnosis is crucial for effective treatment and improved outcomes, yet identifying psychotic episodes presents significant challenges due to its complex nature and the varied presentation of symptoms among individuals. one of the primary difficulties lies in the underreporting and underdiagnosis of psychosis, compounded by the stigma surrounding mental health and the individuals' often diminished insight into their condition. existing efforts leveraging electronic health records (ehrs) to retrospectively identify psychosis typically rely on structured data, such as medical codes and patient demographics, which frequently lack essential information. addressing these challenges, our study leverages natural language processing (nlp) algorithms to analyze psychiatric admission notes for the diagnosis of psychosis, providing a detailed evaluation of rule-based algorithms, machine learning models, and pre-trained language models. additionally, the study investigates the effectiveness of employing keywords to streamline extensive note data before training and evaluating the models. analyzing 4,617 initial psychiatric admission notes (1,196 cases of psychosis versus 3,433 controls) from 2005 to 2019, we discovered that the xgboost classifier employing term frequency-inverse document frequency (tf-idf) features derived from notes pre-selected by expert-curated keywords, attained the highest performance with an f1 score of 0.8881 (auroc [95% ci]: 0.9725 [0.9717, 0.9733]). bluebert demonstrated comparable efficacy an f1 score of 0.8841 (auroc [95% ci]: 0.97 [0.9580,0.9820]) on the same set of notes. both models markedly outperformed traditional international classification of diseases (icd) code-based detection methods from discharge summaries, which had an f1 score of 0.7608, thus improving the margin by 0.12. furthermore, our findings indicate that keyword pre-selection markedly enhances the performance of both machine learning and pre-trained language models. this study illustrates the potential of nlp techniques to improve psychosis detection within admission notes and aims to serve as a foundational reference for future research on applying nlp for psychosis identification in ehr notes.",research square,,,
38978609,2024,Leveraging Large Language Models for Knowledge-free Weak Supervision in Clinical Natural Language Processing.,Research square,10.48550/arXiv.2303.08774,"Hsu, E.",2,"Hsu, E.; Roberts, K.",T3 Weak supervision,Journal Article; Preprint,include,Preprint - not peer reviewed (inclusion criterion),"The performance of deep learning-based natural language processing systems is based on large amounts of labeled training data which, in the clinical domain, are not easily available or affordable. Weak supervision and in-context learning offer partial solutions to this issue, particularly using large language models (LLMs), but their performance still trails traditional supervised methods with moderate amounts of gold-standard data. In particular, inferencing with LLMs is computationally heavy. We propose an approach leveraging fine-tuning LLMs and weak supervision with virtually no domain knowledge that still achieves consistently dominant performance. Using a prompt-based approach, the LLM is used to generate weakly-labeled data for training a downstream BERT model. The weakly supervised model is then further fine-tuned on small amounts of gold standard data. We evaluate this approach using Llama2 on three different n2c2 datasets. With no more than 10 gold standard notes, our final BERT models weakly supervised by fine-tuned Llama2-13B consistently outperformed out-of-the-box PubMedBERT by 4.7-47.9% in F1 scores. With only 50 gold standard notes, our models achieved close performance to fully fine-tuned systems.","leveraging large language models for knowledge-free weak supervision in clinical natural language processing. the performance of deep learning-based natural language processing systems is based on large amounts of labeled training data which, in the clinical domain, are not easily available or affordable. weak supervision and in-context learning offer partial solutions to this issue, particularly using large language models (llms), but their performance still trails traditional supervised methods with moderate amounts of gold-standard data. in particular, inferencing with llms is computationally heavy. we propose an approach leveraging fine-tuning llms and weak supervision with virtually no domain knowledge that still achieves consistently dominant performance. using a prompt-based approach, the llm is used to generate weakly-labeled data for training a downstream bert model. the weakly supervised model is then further fine-tuned on small amounts of gold standard data. we evaluate this approach using llama2 on three different n2c2 datasets. with no more than 10 gold standard notes, our final bert models weakly supervised by fine-tuned llama2-13b consistently outperformed out-of-the-box pubmedbert by 4.7-47.9% in f1 scores. with only 50 gold standard notes, our models achieved close performance to fully fine-tuned systems.",research square,,,
