pmid,year,first_author,authors_full,title,journal,doi,theme,source,relevance_score,abstract,volume,issue,pages,elocation,apa
20962133.0,2010,"Agarwal, S.","Agarwal, S.; Yu, H.",Biomedical negation scope detection with conditional random fields.,Journal of the American Medical Informatics Association : JAMIA,10.1136/jamia.2010.003228,T2 Rule-based vs ML,PubMed/MEDLINE,16.0,"Negation is a linguistic phenomenon that marks the absence of an entity or event. Negated events are frequently reported in both biological literature and clinical notes. Text mining applications benefit from the detection of negation and its scope. However, due to the complexity of language, identifying the scope of negation in a sentence is not a trivial task. Conditional random fields (CRF), a supervised machine-learning algorithm, were used to train models to detect negation cue phrases and their scope in both biological literature and clinical notes. The models were trained on the publicly available BioScope corpus. The performance of the CRF models was evaluated on identifying the negation cue phrases and their scope by calculating recall, precision and F1-score. The models were compared with four competitive baseline systems. The best CRF-based model performed statistically better than all baseline systems and NegEx, achieving an F1-score of 98% and 95% on detecting negation cue phrases and their scope in clinical notes, and an F1-score of 97% and 85% on detecting negation cue phrases and their scope in biological literature. This approach is robust, as it can identify negation scope in both biological and clinical text. To benefit text mining applications, the system is publicly available as a Java API and as an online application at http://negscope.askhermes.org.",17,6,696-701,10.1136/jamia.2010.003228,"Agarwal, S., & Yu, H. (2010). Biomedical negation scope detection with conditional random fields. *Journal of the American Medical Informatics Association : JAMIA*, *17*(6), 696-701. https://doi.org/10.1136/jamia.2010.003228"
37833661.0,2023,"Argüello-González, G.","Argüello-González, G.; Aquino-Esperanza, J.; Salvador, D.; Bretón-Romero, R.; Del Río-Bermudez, C.; Tello, J.; Menke, S.",Negation recognition in clinical natural language processing using a combination of the NegEx algorithm and a convolutional neural network.,BMC medical informatics and decision making,10.1186/s12911-023-02301-5,T2 Rule-based vs ML,PubMed/MEDLINE,22.0,"Important clinical information of patients is present in unstructured free-text fields of Electronic Health Records (EHRs). While this information can be extracted using clinical Natural Language Processing (cNLP), the recognition of negation modifiers represents an important challenge. A wide range of cNLP applications have been developed to detect the negation of medical entities in clinical free-text, however, effective solutions for languages other than English are scarce. This study aimed at developing a solution for negation recognition in Spanish EHRs based on a combination of a customized rule-based NegEx layer and a convolutional neural network (CNN). Based on our previous experience in real world evidence (RWE) studies using information embedded in EHRs, negation recognition was simplified into a binary problem ('affirmative' vs. 'non-affirmative' class). For the NegEx layer, negation rules were obtained from a publicly available Spanish corpus and enriched with custom ones, whereby the CNN binary classifier was trained on EHRs annotated for clinical named entities (cNEs) and negation markers by medical doctors. The proposed negation recognition pipeline obtained precision, recall, and F1-score of 0.93, 0.94, and 0.94 for the 'affirmative' class, and 0.86, 0.84, and 0.85 for the 'non-affirmative' class, respectively. To validate the generalization capabilities of our methodology, we applied the negation recognition pipeline on EHRs (6,710 cNEs) from a different data source distribution than the training corpus and obtained consistent performance metrics for the 'affirmative' and 'non-affirmative' class (0.95, 0.97, and 0.96; and 0.90, 0.83, and 0.86 for precision, recall, and F1-score, respectively). Lastly, we evaluated the pipeline against two publicly available Spanish negation corpora, the IULA and NUBes, obtaining state-of-the-art metrics (1.00, 0.99, and 0.99; and 1.00, 0.93, and 0.96 for precision, recall, and F1-score, respectively). Negation recognition is a source of low precision in the retrieval of cNEs from EHRs' free-text. Combining a customized rule-based NegEx layer with a CNN binary classifier outperformed many other current approaches. RWE studies highly benefit from the correct recognition of negation as it reduces false positive detections of cNE which otherwise would undoubtedly reduce the credibility of cNLP systems.",23,1,216,216,"Argüello-González, G., Aquino-Esperanza, J., Salvador, D., Bretón-Romero, R., Del Río-Bermudez, C., Tello, J., & Menke, S. (2023). Negation recognition in clinical natural language processing using a combination of the NegEx algorithm and a convolutional neural network. *BMC medical informatics and decision making*, *23*(1), 216. https://doi.org/10.1186/s12911-023-02301-5"
41643489.0,2026,"Balakrishnan, K.","Balakrishnan, K.; Velusamy, D.; Ramasamy, K.; Hinkle, H. E.; Hudson, H. J.; Pachori, R. B.; Khan, H.",Artificial intelligence approaches for non-invasive diabetes prediction using ECG signals: A systematic review.,Computer methods and programs in biomedicine,10.1016/j.cmpb.2026.109264,T4 Leakage & validity,PubMed/MEDLINE,7.0,"Diabetes is a major global health challenge, with many individuals remaining undiagnosed due to the limitations of traditional screening methods. Artificial intelligence (AI)-based electrocardiogram (ECG) analysis offers a promising, non-invasive approach for the early detection of diabetes. This systematic review aims to critically evaluate machine learning (ML) and deep learning (DL) models developed for non-invasive prediction of diabetes and prediabetes using ECG signals. A comprehensive literature search was conducted across PubMed, Embase, Web of Science, IEEE Xplore, and ACM Digital Library in accordance with PRISMA 2020 guidelines. Twenty-five studies met the inclusion criteria. Extracted data included ECG input types, model architectures, preprocessing methods, feature sets, validation strategies, and performance metrics. Most studies used small, single-site, cross-sectional datasets, with sample sizes ranging from 24 to over 190,000 individuals. ECG preprocessing methods varied widely, including filtering, normalization, and decomposition. Features were extracted from time, frequency, morphological, and non-linear domains, though formal feature selection was applied inconsistently. ML and DL models reported high internal accuracy (>90%) but most lacked external validation and subgroup performance assessments. Notably, no study specifically focused on rural or underserved populations, and only one provided open-source code. AI-based ECG analysis demonstrates strong potential for detecting diabetes; however, current research is limited by generalizability issues, lack of standardized methods, poor external validation, and insufficient transparency. Future studies should prioritize rigorous validation, reproducibility, fairness audits, and applications in rural and underserved settings to ensure equitable and clinically viable deployment of these models.",278,,109264,10.1016/j.cmpb.2026.109264,"Balakrishnan, K., Velusamy, D., Ramasamy, K., Hinkle, H. E., Hudson, H. J., Pachori, R. B., & Khan, H. (2026). Artificial intelligence approaches for non-invasive diabetes prediction using ECG signals: A systematic review. *Computer methods and programs in biomedicine*, *278*, 109264. https://doi.org/10.1016/j.cmpb.2026.109264"
12123149.0,2001,"Chapman, W. W.","Chapman, W. W.; Bridewell, W.; Hanbury, P.; Cooper, G. F.; Buchanan, B. G.",A simple algorithm for identifying negated findings and diseases in discharge summaries.,Journal of biomedical informatics,10.1006/jbin.2001.1029,T2 Rule-based vs ML,PubMed/MEDLINE,15.0,"Narrative reports in medical records contain a wealth of information that may augment structured data for managing patient information and predicting trends in diseases. Pertinent negatives are evident in text but are not usually indexed in structured databases. The objective of the study reported here was to test a simple algorithm for determining whether a finding or disease mentioned within narrative medical reports is present or absent. We developed a simple regular expression algorithm called NegEx that implements several phrases indicating negation, filters out sentences containing phrases that falsely appear to be negation phrases, and limits the scope of the negation phrases. We compared NegEx against a baseline algorithm that has a limited set of negation phrases and a simpler notion of scope. In a test of 1235 findings and diseases in 1000 sentences taken from discharge summaries indexed by physicians, NegEx had a specificity of 94.5% (versus 85.3% for the baseline), a positive predictive value of 84.5% (versus 68.4% for the baseline) while maintaining a reasonable sensitivity of 77.8% (versus 88.3% for the baseline). We conclude that with little implementation effort a simple regular expression algorithm for determining whether a finding or disease is absent can identify a large portion of the pertinent negatives from discharge summaries.",34,5,301-10,,"Chapman, W. W., Bridewell, W., Hanbury, P., Cooper, G. F., & Buchanan, B. G. (2001). A simple algorithm for identifying negated findings and diseases in discharge summaries. *Journal of biomedical informatics*, *34*(5), 301-10. https://doi.org/10.1006/jbin.2001.1029"
35767353.0,2022,"Chen, P. F.","Chen, P. F.; Chen, K. C.; Liao, W. C.; Lai, F.; He, T. L.; Lin, S. C.; Chen, W. J.; Yang, C. Y.; Lin, Y. C.; Tsai, I. C.; Chiu, C. H.; Chang, S. C.; Hung, F. M.",Automatic International Classification of Diseases Coding System: Deep Contextualized Language Model With Rule-Based Approaches.,JMIR medical informatics,10.2196/37557,T2 Rule-based vs ML,PubMed/MEDLINE,15.0,"The tenth revision of the International Classification of Diseases (ICD-10) is widely used for epidemiological research and health management. The clinical modification (CM) and procedure coding system (PCS) of ICD-10 were developed to describe more clinical details with increasing diagnosis and procedure codes and applied in disease-related groups for reimbursement. The expansion of codes made the coding time-consuming and less accurate. The state-of-the-art model using deep contextual word embeddings was used for automatic multilabel text classification of ICD-10. In addition to input discharge diagnoses (DD), the performance can be improved by appropriate preprocessing methods for the text from other document types, such as medical history, comorbidity and complication, surgical method, and special examination. This study aims to establish a contextual language model with rule-based preprocessing methods to develop the model for ICD-10 multilabel classification. We retrieved electronic health records from a medical center. We first compared different word embedding methods. Second, we compared the preprocessing methods using the best-performing embeddings. We compared biomedical bidirectional encoder representations from transformers (BioBERT), clinical generalized autoregressive pretraining for language understanding (Clinical XLNet), label tree-based attention-aware deep model for high-performance extreme multilabel text classification (AttentionXLM), and word-to-vector (Word2Vec) to predict ICD-10-CM. To compare different preprocessing methods for ICD-10-CM, we included DD, medical history, and comorbidity and complication as inputs. We compared the performance of ICD-10-CM prediction using different preprocesses, including definition training, external cause code removal, number conversion, and combination code filtering. For the ICD-10 PCS, the model was trained using different combinations of DD, surgical method, and key words of special examination. The micro F1 score and the micro area under the receiver operating characteristic curve were used to compare the model's performance with that of different preprocessing methods. BioBERT had an F1 score of 0.701 and outperformed other models such as Clinical XLNet, AttentionXLM, and Word2Vec. For the ICD-10-CM, the model had an F1 score that significantly increased from 0.749 (95% CI 0.744-0.753) to 0.769 (95% CI 0.764-0.773) with the ICD-10 definition training, external cause code removal, number conversion, and combination code filter. For the ICD-10-PCS, the model had an F1 score that significantly increased from 0.670 (95% CI 0.663-0.678) to 0.726 (95% CI 0.719-0.732) with a combination of discharge diagnoses, surgical methods, and key words of special examination. With our preprocessing methods, the model had the highest area under the receiver operating characteristic curve of 0.853 (95% CI 0.849-0.855) and 0.831 (95% CI 0.827-0.834) for ICD-10-CM and ICD-10-PCS, respectively. The performance of our model with the pretrained contextualized language model and rule-based preprocessing method is better than that of the state-of-the-art model for ICD-10-CM or ICD-10-PCS. This study highlights the importance of rule-based preprocessing methods based on coder coding rules.",10,6,e37557,e37557,"Chen, P. F., Chen, K. C., Liao, W. C., Lai, F., He, T. L., Lin, S. C., Chen, W. J., Yang, C. Y., Lin, Y. C., Tsai, I. C., Chiu, C. H., Chang, S. C., & Hung, F. M. (2022). Automatic International Classification of Diseases Coding System: Deep Contextualized Language Model With Rule-Based Approaches. *JMIR medical informatics*, *10*(6), e37557. https://doi.org/10.2196/37557"
40162890.0,2025,"Chew, M.","Chew, M.; Yu, C.; Stojevski, L.; Conilione, P.; Gust, A.; Suleiman, M.; Swansson, W.; Anderson, B.; Garg, M.; Lewis, D.",A Novel Natural Language Processing Tool Improves Colonoscopy Auditing of Adenoma and Serrated Polyp Detection Rates.,Journal of gastroenterology and hepatology,10.1111/jgh.16933,T1 Endoscopy report NLP,PubMed/MEDLINE,7.0,"Determining adenoma detection rate (ADR) and serrated polyp detection rate (SDR) can be challenging as they usually involve manual matching of colonoscopy and histology reports. This study aimed to validate a Natural Language Processing (NLP) code that enables rapid and efficient data extraction to calculate ADR and SDR. A NLP code was developed to automatically extract colonoscopy quality indicators from colonoscopy and histology reports at a tertiary health service. These reports were manually reviewed to verify the concordance of ADR and SDR between the two methods. This process was applied in the initial training phase, repeated following modification of the code, and again with a validation cohort. Included in the training and test phases were 5911 colonoscopies, with 2022 in the validation phase. The NLP code extracted patient names with 99.9% concordance and had a 98.9% accuracy in ADR and SDR in the training phase. Search terms were subsequently modified to take into consideration spelling variations and overlapping terminologies. Using data from the same cohort, accuracy of the NLP improved to 100%, excluding four colonoscopies that had missing histology reports in the test phase. Using a validated cohort, NLP had a 99.9% accuracy in ADR and SDR. The total time taken for auditing using NLP in the validation phase was less than 1 h. An automatic NLP code had an accuracy of almost 100% in determining ADR and SDR in a tertiary colonoscopy service. Wider adoption of NLP enables significant improvements in colonoscopy audits that is accurate and time efficient.",40,5,1230-1237,10.1111/jgh.16933,"Chew, M., Yu, C., Stojevski, L., Conilione, P., Gust, A., Suleiman, M., Swansson, W., Anderson, B., Garg, M., & Lewis, D. (2025). A Novel Natural Language Processing Tool Improves Colonoscopy Auditing of Adenoma and Serrated Polyp Detection Rates. *Journal of gastroenterology and hepatology*, *40*(5), 1230-1237. https://doi.org/10.1111/jgh.16933"
25560714.0,2015,"Collins, G. S.","Collins, G. S.; Reitsma, J. B.; Altman, D. G.; Moons, K. G.",Transparent Reporting of a multivariable prediction model for Individual Prognosis or Diagnosis (TRIPOD): the TRIPOD statement.,Annals of internal medicine,10.7326/M14-0697,T5 Reporting standards,PubMed/MEDLINE,20.0,"Prediction models are developed to aid health care providers in estimating the probability or risk that a specific disease or condition is present (diagnostic models) or that a specific event will occur in the future (prognostic models), to inform their decision making. However, the overwhelming evidence shows that the quality of reporting of prediction model studies is poor. Only with full and clear reporting of information on all aspects of a prediction model can risk of bias and potential usefulness of prediction models be adequately assessed. The Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD) Initiative developed a set of recommendations for the reporting of studies developing, validating, or updating a prediction model, whether for diagnostic or prognostic purposes. This article describes how the TRIPOD Statement was developed. An extensive list of items based on a review of the literature was created, which was reduced after a Web-based survey and revised during a 3-day meeting in June 2011 with methodologists, health care professionals, and journal editors. The list was refined during several meetings of the steering group and in e-mail discussions with the wider group of TRIPOD contributors. The resulting TRIPOD Statement is a checklist of 22 items, deemed essential for transparent reporting of a prediction model study. The TRIPOD Statement aims to improve the transparency of the reporting of a prediction model study regardless of the study methods used. The TRIPOD Statement is best used in conjunction with the TRIPOD explanation and elaboration document. To aid the editorial process and readers of prediction model studies, it is recommended that authors include a completed checklist in their submission (also available at www.tripod-statement.org).",162,1,55-63,10.7326/M14-0697,"Collins, G. S., Reitsma, J. B., Altman, D. G., & Moons, K. G. (2015). Transparent Reporting of a multivariable prediction model for Individual Prognosis or Diagnosis (TRIPOD): the TRIPOD statement. *Annals of internal medicine*, *162*(1), 55-63. https://doi.org/10.7326/M14-0697"
34244270.0,2021,"Collins, G. S.","Collins, G. S.; Dhiman, P.; Andaur Navarro, C. L.; Ma, J.; Hooft, L.; Reitsma, J. B.; Logullo, P.; Beam, A. L.; Peng, L.; Van Calster, B.; van Smeden, M.; Riley, R. D.; Moons, K. G.",Protocol for development of a reporting guideline (TRIPOD-AI) and risk of bias tool (PROBAST-AI) for diagnostic and prognostic prediction model studies based on artificial intelligence.,BMJ open,10.1136/bmjopen-2020-048008,T5 Reporting standards,PubMed/MEDLINE,30.0,"The Transparent Reporting of a multivariable prediction model of Individual Prognosis Or Diagnosis (TRIPOD) statement and the Prediction model Risk Of Bias ASsessment Tool (PROBAST) were both published to improve the reporting and critical appraisal of prediction model studies for diagnosis and prognosis. This paper describes the processes and methods that will be used to develop an extension to the TRIPOD statement (TRIPOD-artificial intelligence, AI) and the PROBAST (PROBAST-AI) tool for prediction model studies that applied machine learning techniques. TRIPOD-AI and PROBAST-AI will be developed following published guidance from the EQUATOR Network, and will comprise five stages. Stage 1 will comprise two systematic reviews (across all medical fields and specifically in oncology) to examine the quality of reporting in published machine-learning-based prediction model studies. In stage 2, we will consult a diverse group of key stakeholders using a Delphi process to identify items to be considered for inclusion in TRIPOD-AI and PROBAST-AI. Stage 3 will be virtual consensus meetings to consolidate and prioritise key items to be included in TRIPOD-AI and PROBAST-AI. Stage 4 will involve developing the TRIPOD-AI checklist and the PROBAST-AI tool, and writing the accompanying explanation and elaboration papers. In the final stage, stage 5, we will disseminate TRIPOD-AI and PROBAST-AI via journals, conferences, blogs, websites (including TRIPOD, PROBAST and EQUATOR Network) and social media. TRIPOD-AI will provide researchers working on prediction model studies based on machine learning with a reporting guideline that can help them report key details that readers need to evaluate the study quality and interpret its findings, potentially reducing research waste. We anticipate PROBAST-AI will help researchers, clinicians, systematic reviewers and policymakers critically appraise the design, conduct and analysis of machine learning based prediction model studies, with a robust standardised tool for bias evaluation. Ethical approval has been granted by the Central University Research Ethics Committee, University of Oxford on 10-December-2020 (R73034/RE001). Findings from this study will be disseminated through peer-review publications. CRD42019140361 and CRD42019161764.",11,7,e048008,e048008,"Collins, G. S., Dhiman, P., Andaur Navarro, C. L., Ma, J., Hooft, L., Reitsma, J. B., Logullo, P., Beam, A. L., Peng, L., Van Calster, B., van Smeden, M., Riley, R. D., & Moons, K. G. (2021). Protocol for development of a reporting guideline (TRIPOD-AI) and risk of bias tool (PROBAST-AI) for diagnostic and prognostic prediction model studies based on artificial intelligence. *BMJ open*, *11*(7), e048008. https://doi.org/10.1136/bmjopen-2020-048008"
37096148.0,2023,"Datta, S.","Datta, S.; Roberts, K.",Weakly supervised spatial relation extraction from radiology reports.,JAMIA open,10.1093/jamiaopen/ooad027,T3 Weak supervision,PubMed/MEDLINE,8.0,"Weak supervision holds significant promise to improve clinical natural language processing by leveraging domain resources and expertise instead of large manually annotated datasets alone. Here, our objective is to evaluate a weak supervision approach to extract spatial information from radiology reports. Our weak supervision approach is based on data programming that uses rules (or labeling functions) relying on domain-specific dictionaries and radiology language characteristics to generate weak labels. The labels correspond to different spatial relations that are critical to understanding radiology reports. These weak labels are then used to fine-tune a pretrained Bidirectional Encoder Representations from Transformers (BERT) model. Our weakly supervised BERT model provided satisfactory results in extracting spatial relations without manual annotations for training (spatial trigger F1: 72.89, relation F1: 52.47). When this model is further fine-tuned on manual annotations (relation F1: 68.76), performance surpasses the fully supervised state-of-the-art. To our knowledge, this is the first work to automatically create detailed weak labels corresponding to radiological information of clinical significance. Our data programming approach is (1) adaptable as the labeling functions can be updated with relatively little manual effort to incorporate more variations in radiology language reporting formats and (2) generalizable as these functions can be applied across multiple radiology subdomains in most cases. We demonstrate a weakly supervision model performs sufficiently well in identifying a variety of relations from radiology text without manual annotations, while exceeding state-of-the-art results when annotated data are available.",6,2,ooad027,ooad027,"Datta, S., & Roberts, K. (2023). Weakly supervised spatial relation extraction from radiology reports. *JAMIA open*, *6*(2), ooad027. https://doi.org/10.1093/jamiaopen/ooad027"
41448505.0,2026,"de Kanter, E.","de Kanter, E.; Kaul, T.; Heus, P.; de Groot, T. M.; Kuijten, R. H.; Reitsma, J. B.; Collins, G. S.; Hooft, L.; Moons, K. G. M.; Damen, J. A. A.",Adherence to TRIPOD+AI guideline: an updated reporting assessment tool.,Journal of clinical epidemiology,10.1016/j.jclinepi.2025.112118,T5 Reporting standards,PubMed/MEDLINE,29.0,"Incomplete reporting of research limits its usefulness and contributes to research waste. Numerous reporting guidelines have been developed to support complete and accurate reporting of health-care research studies. Completeness of reporting can be measured by evaluating the adherence to reporting guidelines. However, assessing adherence to a reporting guideline often lacks uniformity. In 2019, we developed a reporting adherence tool for the Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD) statement. With recent advances in regression and artificial intelligence (AI)/machine learning (ML)-based methods, TRIPOD + AI (www.tripod-statment.org) was developed to replace the TRIPOD statement. The aim of this study was to develop an updated adherence tool for TRIPOD + AI. Based on the TRIPOD + AI full reporting guideline, including the accompanying explanation and elaboration light, and TRIPOD + AI for abstracts, we updated and expanded the original TRIPOD adherence tool and refined the adherence elements and their scoring rules through discussions within the author team and a pilot test. The updated tool comprises of 37 main items and 136 adherence elements and includes several automated scoring rules. We developed separate TRIPOD + AI adherence tools for model development, model evaluation, and for studies describing both in a single paper. A uniform approach to assessing reporting adherence of TRIPOD + AI allows for comparisons across various fields, monitor reporting over time, and incentivizes primary study authors to comply. Accurate and complete reporting is crucial in biomedical research to ensure findings can be effectively used. To support researchers in reporting their findings well, reporting guidelines have been developed for different study types. One such guideline is TRIPOD, which focuses on research studies about medical prediction tools. In 2024, TRIPOD was updated to TRIPOD + AI to address the increasing use of AI and ML in prediction model studies. In 2019, we developed a scoring system to evaluate how well research papers on prediction tools adhered to the TRIPOD guideline, resulting in a reporting completeness score. This score allows for easier comparison of reporting completeness across various medical fields, and to monitor improvement in reporting over time. With the introduction of TRIPOD + AI, an update of the scoring system was required to align with the new reporting recommendations. We achieved this by reviewing our previous scoring system and incorporating the new items from TRIPOD + AI to better suit studies involving AI. We believe that this system will facilitate comparisons of prediction model reporting completeness across different fields and encourage improved reporting practices.",191,,112118,10.1016/j.jclinepi.2025.112118,"de Kanter, E., Kaul, T., Heus, P., de Groot, T. M., Kuijten, R. H., Reitsma, J. B., Collins, G. S., Hooft, L., Moons, K. G. M., & Damen, J. A. A. (2026). Adherence to TRIPOD+AI guideline: an updated reporting assessment tool. *Journal of clinical epidemiology*, *191*, 112118. https://doi.org/10.1016/j.jclinepi.2025.112118"
