pmid,title,theme,reason
29948845,Context aware decision support in neurosurgical oncology based on an efficient classification of endomicroscopic data.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
31325742,MAPGI: Accurate identification of anatomical landmarks and diseased tissue in gastrointestinal tract using deep learning.,T1 Landmark recognition in UGI endoscopy,Eligibility: no term matched required group(s) [0]
32040514,Fully automatic segmentation of glottis and vocal folds in endoscopic laryngeal high-speed videos using a deep Convolutional LSTM Network.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
33360117,MSCI: A multistate dataset for colposcopy image classification of cervical cancer screening.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
33574394,New polyp image classification technique using transfer learning of network-in-network structure in endoscopic images.,T1 Landmark recognition in UGI endoscopy,Eligibility: no term matched required group(s) [1]
34000069,Diagnostic Accuracies of Laryngeal Diseases Using a Convolutional Neural Network-Based Image Classification System.,T1 Landmark recognition in UGI endoscopy,Non-GI endoscopy homonym ('laryngoscop')
34468971,Binary polyp-size classification based on deep-learned spatial information.,T1 Landmark recognition in UGI endoscopy,Eligibility: no term matched required group(s) [1]
34763800,Automatic image and text-based description for colorectal polyps using BASIC classification.,T1 Landmark recognition in UGI endoscopy,Eligibility: no term matched required group(s) [1]
35266049,Artificial intelligence software available for medical devices: surgical phase recognition in laparoscopic cholecystectomy.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
35492307,Automated Disease Detection in Gastroscopy Videos Using Convolutional Neural Networks.,T1 Landmark recognition in UGI endoscopy,Eligibility: no term matched required group(s) [2]
35568744,Effective high-to-low-level feature aggregation network for endoscopic image classification.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
35617940,Colposcopic multimodal fusion for the classification of cervical lesions.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
36093645,A deep learning-based method for cervical transformation zone classification in colposcopy images.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
36420314,Fusing compressed deep ConvNets with a self-normalizing residual block and alpha dropout for a cost-efficient classification and diagnosis of gastrointestinal tract diseases.,T1 Landmark recognition in UGI endoscopy,Eligibility: no term matched required group(s) [0]
36473265,Convolutional neural network based anatomical site identification for laryngoscopy quality control: A multicenter study.,T1 Landmark recognition in UGI endoscopy,Non-GI endoscopy homonym ('laryngoscop')
37045798,Anatomical classification of pharyngeal and laryngeal endoscopic images using artificial intelligence.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
37081495,Automated classification of polyps using deep learning architectures and few-shot learning.,T1 Landmark recognition in UGI endoscopy,Eligibility: no term matched required group(s) [0]
37278834,Automatic performance evaluation of the intracorporeal suture exercise.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
37567981,Development of an artificial intelligence system for real-time intraoperative assessment of the Critical View of Safety in laparoscopic cholecystectomy.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
38271352,Detecting microsatellite instability in colorectal cancer using Transformer-based colonoscopy image classification and retrieval.,T1 Landmark recognition in UGI endoscopy,Eligibility: no term matched required group(s) [0]
38713522,Deep Learning Diagnostic Classification of Cervical Images to Augment Colposcopic Impression.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
38809338,Improving Laryngoscopy Image Analysis Through Integration of Global Information and Local Features in VoFoCD Dataset.,T1 Landmark recognition in UGI endoscopy,Non-GI endoscopy homonym ('laryngoscop')
38841838,Utilization of artificial intelligence in minimally invasive right adrenalectomy: recognition of anatomical landmarks with deep learning.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
39015068,Using Machine Learning for Endoscopic Detection of Low-Grade Subglottic Stenosis: A Proof of Principle.,T1 Landmark recognition in UGI endoscopy,Non-GI endoscopy homonym ('laryngoscop')
39255375,Dual-stage semantic segmentation of endoscopic surgical instruments.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
39526389,Self-Attention Mechanisms-Based Laryngoscopy Image Classification Technique for Laryngeal Cancer Detection.,T1 Landmark recognition in UGI endoscopy,Non-GI endoscopy homonym ('laryngoscop')
39814211,Deep Learning for Predicting Difficulty in Radical Prostatectomy: A Novel Evaluation Scheme.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
39827999,Taming vision transformers for clinical laryngoscopy assessment.,T1 Landmark recognition in UGI endoscopy,Non-GI endoscopy homonym ('laryngoscop')
