pmid,year,title,journal,doi,first_author,n_authors,authors_full,theme,themes_all,pub_types,screen_decision,exclusion_reason,abstract
16010604,2005,"Video capsule endoscopy for investigation of obscure gastrointestinal bleeding: feasibility, results, and interobserver agreement.",Endoscopy,10.1055/s-2005-861419,"De Leusse, A.",9,"De Leusse, A.; Landi, B.; Edery, J.; Burtin, P.; Lecomte, T.; Seksik, P.; Bloch, F.; Jian, R.; Cellier, C.",T3 Inter-observer variability in endoscopy,T3 Inter-observer variability in endoscopy,Journal Article,include,,"The aim of the study was to assess the feasibility, diagnostic yield, and interobserver agreement of capsule endoscopy in the investigation of patients with obscure or occult gastrointestinal bleeding. A total of 64 consecutive patients with occult bleeding (31 %) or overt bleeding (69 %) were assessed using capsule endoscopy after negative upper and lower endoscopy and small-bowel radiology. The quality of visualization of the small-bowel mucosa was scored from 1 (poor) to 4 (excellent). Thirty video capsule recordings with normal or abnormal findings were blindly assessed by four independent endoscopists. Interobserver agreement was evaluated using the kappa index. The small bowel was completely visualized in 57/64 patients (89 %). Incomplete small-bowel transit was most commonly due to prolonged gastric retention (five patients). The mucosa visualization scores (means) for the proximal, middle, and distal thirds of the small bowel were 3.7, 3.3, and 2.2 respectively. Visualization of the distal ileum was good (> or = 3) in 38 % and a bleeding site was found in 45 % of patients. Push-enteroscopy was also performed in 56 patients. The results of the two techniques were similar in 37 patients, capsule endoscopy was superior in 12 patients, and push-enteroscopy was superior in seven patients. Interobserver agreement was good for bleeding and for angiodysplasia, but poor for ulcers and tumors. Mean interobserver agreement was better among experienced endoscopists than among junior endoscopists. Capsule endoscopy allowed the whole small intestine to be explored in 89 % of patients, with good visualization of the mucosa, except distally. Interobserver agreement was better among the experienced endoscopists and was better for red-colored abnormalities (bleeding and angiodysplasia) than for ulcers and tumors."
16095443,2005,Inter-observer agreement of tests used for prediction of difficult laryngoscopy/tracheal intubation.,Acta anaesthesiologica Scandinavica,10.1111/j.1399-6576.2005.00792.x,"Rosenstock, C.",6,"Rosenstock, C.; Gillesberg, I.; Gätke, M. R.; Levin, D.; Kristensen, M. S.; Rasmussen, L. S.",T3 Inter-observer variability in endoscopy,T3 Inter-observer variability in endoscopy,"Journal Article; Research Support, Non-U.S. Gov't",include,,"Guidelines recommend pre-operative airway evaluation for the prediction of airway management difficulties. Combining tests for evaluation increases the accuracy of the assessment. One model including seven parameters transformed into a simplified airway risk index (SARI) has been proven to be valid. We determined the inter-observer agreement of the specific test combinations included in SARI as well as of the total score. Four observers assessed 136 patients, 120 without and 16 with a difficult airway history. Two residents and two specialists in anaesthesia performed the airway assessment consisting of the measurement of the mouth opening, the thyromental distance (TMD), the ability to protrude the mandible and an evaluation of the Mallampati class and head and neck mobility. Body weight was also recorded. Inter-observer agreement between specialists and residents, separately, was analysed using kappa statistics and Spearman's correlation analysis and the limits of agreement were evaluated using the 95% confidence interval. The agreement between pairs of assessors was also evaluated. The inter-observer agreement was good to excellent for both specialists and residents when measuring mouth opening (Spearman's correlation coefficient R=0.88-0.97) and the horizontal distance between the upper and lower incisors during jaw protrusion (R=0.56-0.97). The Mallampati classification assessment demonstrated satisfactory to complete inter-observer agreement (kappa=0.41-1). The assessment of TMD and neck mobility showed considerable discrepancies between observers. We demonstrated good inter-observer agreement using three tests from SARI and recommend the Mallampati classification, mouth opening and ability of jaw protrusion for pre-operative airway evaluation. A simplification of the assessment of TMD and neck mobility is warranted."
16462542,2006,Inter-observer variations on interpretation of capsule endoscopies.,European journal of gastroenterology & hepatology,10.1097/00042737-200603000-00009,"Lai, L. H.",6,"Lai, L. H.; Wong, G. L.; Chow, D. K.; Lau, J. Y.; Sung, J. J.; Leung, W. K.",T3 Inter-observer variability in endoscopy,T3 Inter-observer variability in endoscopy,Comparative Study; Journal Article,include,,"Capsule endoscopy is a novel investigation for diagnosing small bowel diseases. However, its interpretation is highly subjective and the potential variability may compromise its accuracy and reliability. Here we studied the potential inter-observer variations on the interpretation of capsule endoscopy. Two residents and one specialist in gastroenterology independently reviewed 58 capsule endoscopy studies in the same sequential order. The gastric transit time, small bowel transit time, and the most significant small bowel lesion were independently recorded. The consensus transit time was determined by the joint review of the three gastroenterologists. The 'gold standard' for small bowel diagnoses was based on final surgical, endoscopic findings or consensus diagnosis. Clinically significant and relevant small bowel lesions were found in 32 (55%) cases by consensus review. The overall mean accuracy in determining gastric emptying time, small bowel transit time and small bowel lesion was 89%, 76% and 80%, respectively. There was a significant difference in the accuracy between the residents and specialist on small bowel transit time (P<0.05) and small bowel diagnosis (P<0.05). The mean kappa values on small bowel diagnosis among the three viewers was 0.56 (range, 0.52-0.59). Among various small bowel diagnoses, small bowel bleeding was more accurately identified than other pathology. Our results show that there is moderate degree of inter-observer discrepancies on the interpretation of capsule endoscopy. A second reading by an experienced viewer might improve the diagnostic accuracy of this investigation."
16534879,2006,Sensitivity and inter-observer variability for capsule endoscopy image analysis in a cohort of novice readers.,World journal of gastroenterology,10.3748/wjg.v12.i8.1249,"Chen, G. C.",9,"Chen, G. C.; Enayati, P.; Tran, T.; Lee-Henderson, M.; Quan, C.; Dulai, G.; Arnott, I.; Sul, J.; Jutabha, R.",T3 Inter-observer variability in endoscopy,T3 Inter-observer variability in endoscopy,"Evaluation Study; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",include,,"To determine the performance of novice readers (4th year medical students) for detecting capsule endoscopy findings. Ten capsule endoscopy cases of small bowel lesions were administered to the readers. Gold standard findings were pre-defined by gastroenterologists. Ten gold standard ""targets"" were identified among the 10 cases. Readers were given a 30-min overview of Rapid Reader software and instructed to mark any potential areas of abnormalities. A software program was developed using SAS to analyze the thumbnailed findings. The overall sensitivity for detecting the gold standard findings was 80%. As a group, at least 5 out of 10 readers detected each gold standard finding per recording. All the gold standard targets were identified when the readers' results were combined. Incidental finding/false positive rate ranged between 8.2-59.8 per reader. A panel of medical students with minimal endoscopic experience can achieve high sensitivity in detecting lesions on capsule endoscopy. A group of novice readers can pre-screen recordings to thumbnail potential areas of small bowel lesions for further review. These thumbnails must be reviewed to determine the clinical relevance. Further studies are ongoing to assess other cohorts."
16636038,2006,Laryngoscopic evaluation with the Airway Cam.,Canadian journal of anaesthesia = Journal canadien d'anesthesie,10.1007/BF03022626,"George, R. B.",3,"George, R. B.; McKeen, D.; Law, J. A.",T3 Inter-observer variability in endoscopy,T3 Inter-observer variability in endoscopy,"Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",include,,"The Airway Cam is a head-mounted direct laryngoscopy video system which uses a prismatic sighting system that aligns with the operator's line of sight. This study evaluated intra- and inter-observer consistency in laryngoscopy grading comparing direct laryngoscopy to the laryngoscopy grade obtained with the Airway Cam. Twenty-seven patients receiving a general anesthetic for elective surgery had laryngoscopy performed by an anesthesiologist wearing the Airway Cam. Each video was duplicated, then randomized and reviewed in a blinded fashion by the original laryngoscopist and a second anesthesiologist. Intra- and inter-observer correlations were identified. There was good intra-observer agreement of the Cormack-Lehane scale between direct laryngoscopy and laryngoscopy recorded with the Airway Cam (kappa = 0.63). The corresponding intra-observer correlation of the percentage of glottic opening score was strong at r = 0.83. There was good inter-observer agreement of the Cormack-Lehane scale between direct laryngoscopy and that observed by the second anesthesiologist during Airway Cam video review (kappa = 0.70). There was moderate correlation of the inter-observer percentage of glottic opening scores (r = 0.73). This study validates that the view recorded by the Airway Cam reflects the view of the laryngoscopist. The Airway Cam may introduce an additional level of objectivity into airway management research and teaching."
17058170,2006,Interobserver agreement on classifying endoscopic diagnoses of nonerosive esophagitis.,Endoscopy,10.1055/s-2006-944778,"Amano, Y.",11,"Amano, Y.; Ishimura, N.; Furuta, K.; Okita, K.; Masaharu, M.; Azumi, T.; Ose, T.; Koshino, K.; Ishihara, S.; Adachi, K.; Kinoshita, Y.",T3 Inter-observer variability in endoscopy,T3 Inter-observer variability in endoscopy,Journal Article,include,,"The majority of patients with gastroesophageal reflux disease in Japan have low-grade esophagitis, including minimal changes. A modified Los Angeles classification of esophagitis, consisting of erosive esophagitis (grades A - D) and nonerosive esophagitis (grades M and N) has been proposed and is in clinical use in Japan. However, it is unclear whether nonerosive esophagitis with only undemarcated mucosal discoloration (grade M) is clinically significant, since interobserver variations in classification have not been investigated. The aim of the present study was therefore to evaluate interobserver variance and diagnostic agreement in the diagnosis of nonerosive esophagitis (grades M and N). A total of 84 endoscopists were enrolled to assess the grade of esophagitis in 30 patients by viewing endoscopic images of the gastroesophageal junction. The images were projected onto a screen, and all of the endoscopists reviewed them concurrently. The diagnosis was selected from the following three categories in the modified Los Angeles classification: grades N, M, or A. The endoscopists were grouped according to their experience, whether they had a board license, and whether they had received specialist training in esophagitis. The kappa coefficient of reliability was calculated. The kappa coefficient of reliability for all the endoscopists in the diagnosis of cases of grade M and N nonerosive esophagitis was unacceptably low at 0.22 (95 % CI, 0.21 - 0.24). Endoscopists with a board license and those who had completed a special esophagitis diagnostic course had slightly higher kappa values (0.26; 95 % CI, 0.23 - 0.30 and 0.29; 95 % CI, 0.26 - 0.32), respectively. Interobserver agreement on the endoscopic diagnosis of nonerosive esophagitis (grades M and N) is too low to be of clinical value."
17198454,2007,Inter- and intra-observer variability of the Los Angeles classification: a reassessment.,Archives of Iranian medicine,,"Nasseri-Moghaddam, S.",13,"Nasseri-Moghaddam, S.; Razjouyan, H.; Nouraei, M.; Alimohammadi, M.; Mamarabadi, M.; Vahedi, H.; Pourshams, A.; Mohamadnejad, M.; Zamani, F.; Sadr, F.; Darvish-Moghaddam, S.; Farsi, P.; Malekzadeh, R.",T3 Inter-observer variability in endoscopy,T3 Inter-observer variability in endoscopy,"Journal Article; Research Support, Non-U.S. Gov't",include,,"Los Angeles classification is widely adopted for reporting endoscopic gastroesophageal reflux disease. We assessed the inter- and intra-observer variability of the Los Angeles classification. Still images (n = 254) of the lower esophagus were presented to 9 gastroenterologists (6 experts and 3 trainees) and they were asked to report the images according to the Los Angeles classification. After 2 weeks the images were reordered and they were asked to report them again. Kappa statistic was calculated for intra- and inter-observer variability. The kappa for intra-observer agreement was 0.54 (attendings: 0.54; trainees; 0.55; P = not significant) and the inter-observer agreement was 0.22 (attendings: 0.20; trainees: 0.31; P = 0.027). The inter- and intra-observer kappa values in differentiating nonerosive from erosive cases were 0.22 (attendings: 0.21; trainees: 0.31, P = not significant) and 0.57 (attendings: 0.58; trainees: 0.55, P = not significant), respectively. According to our data, the Los Angeles classification has acceptable intra-observer variability, both for detecting presence or absence of erosions and for differentiating between different degrees of esophagitis, while its inter-observer performance seems to be less acceptable. It may be reasonable and timely to have another look at the Los Angeles classification to see whether its performance can be improved even further."
17583856,2007,Accuracy and interobserver agreement of small-caliber vs. conventional esophagogastroduodenoscopy for evaluating esophageal varices.,Endoscopy,10.1055/s-2007-966351,"Pungpapong, S.",7,"Pungpapong, S.; Keaveny, A.; Raimondo, M.; Dickson, R.; Woodward, T.; Harnois, D.; Wallace, M.",T3 Inter-observer variability in endoscopy,T3 Inter-observer variability in endoscopy,Comparative Study; Journal Article,include,,"Advances in endoscope design have allowed high-quality imaging using small-caliber endoscopes (< 6 mm), and these have been proposed as providing an accurate modality for evaluating esophageal varices in several small studies. We aimed to evaluate the accuracy and interobserver agreement of small-caliber esophagogastroduodenoscopy (EGD) compared with conventional EGD for evaluating esophageal varices in a large prospective cohort. A total of 115 patients with end-stage liver disease and/or portal hypertension were prospectively enrolled into the study. EGD procedures were performed using conventional (8.6-mm) and small-caliber (4.9-mm) endoscopes, back to back and under standard sedation, by two different endoscopists. Esophageal varices were graded at the time of EGD (the ""real-time"" grade); and by retrospective review of photographs by three endoscopists, when a ""consensus"" grade (i. e. a grading agreed by two out of the three endoscopists) was used as the final result. Of the 115 patients, 33 patients (29 %) were classified as Child's class A, 47 patients (41 %) as Child's class B, and 35 patients (30 %) as Child's class C. The mean model for end-stage liver disease (MELD) score was 13.6. Thirty-six patients (31 %) had undergone previous ligation of esophageal varices. Compared with conventional EGD, the accuracy of small-caliber EGD for esophageal varices grading was 94 % (consensus grade) and 95 % (real-time grade). Excellent concordance was demonstrated between real-time grade and consensus grade, with a kappa of 0.95 for both types of EGD. There was excellent interobserver agreement between endoscopists, regardless of the type of EGD. The severity of hepatic dysfunction and the presence or absence of a history of previous esophageal varices ligation did not have any impact on the accuracy or interobserver agreement. Small-caliber EGD performed under sedation via oral intubation is a highly accurate and reliable modality for evaluating esophageal varices in patients with end-stage liver disease and/or portal hypertension, regardless of the degree of hepatic dysfunction or history of previous esophageal varices ligation."
17629159,2007,Colposcopists' agreement on cervical biopsy site.,Clinical and experimental obstetrics & gynecology,,"Elit, L.",4,"Elit, L.; Julian, J. A.; Sellors, J. W.; Levine, M.",T3 Inter-observer variability in endoscopy,T3 Inter-observer variability in endoscopy,"Clinical Trial; Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",include,,"To determine the inter-observer agreement among colposcopists on the most abnormal area of the cervix from which a biopsy would be obtained and whether any attributes predict agreement. Fifty cervigrams were reviewed and 72 colposcopists from five countries indicated the site to biopsy and whether an ECC should be obtained. Prior to the study, six Canadian colposcopists met to achieve consensus on the most diseased area for biopsy. Consensus was also reached on whether an ECC was indicated. For each cervigram, percent agreement was determined between each study colposcopist and the consensus. Data were analyzed to determine the attributes associated with the consensus response. The percent overall agreement of the colposcopists with the consensus diagnoses had a mean of 0.70 (95% CI, 0.65-0.75). The use of ECC was most common in Canada (15% of cases). The following factors were assessed by multivariate analysis to determine their influence on individual agreement with the consensus recommendation for the site to biopsy: country, duration of practice (less than or greater than 1 year), professional group (nurse, family doctor, pathologist, gynecologist, gynecologic oncologist), expert status (recognized national/international expert vs colposcopist), and gender. No factor was significantly associated. This international study was feasible and the level of inter-observer agreement among colposcopists on the location of the most severe lesions in cervical images is good."
17847721,2007,Measuring edema in irradiated head and neck cancer patients.,"The Annals of otology, rhinology, and laryngology",10.1177/000348940711600801,"Patterson, J. M.",3,"Patterson, J. M.; Hildreth, A.; Wilson, J. A.",T3 Inter-observer variability in endoscopy,T3 Inter-observer variability in endoscopy,"Journal Article; Research Support, Non-U.S. Gov't",include,,"Edema is a common side effect of radiotherapy for head and neck cancer. Systems have been developed to record and monitor changes that occur after radiotherapy. These lack the sensitivity to record edema in specific laryngo-pharyngeal structures. The aim of this study was to develop a rating scale to measure edema in the larynx and pharynx. This was an exploratory study to develop a new measure, with the help of an expert panel, assessing interrater and intrarater reliability. A consensus group developed the rating scale. Eleven structures and 2 spaces were identified as areas sensitive to the development of edema. The terms no, mild, moderate, and severe were used to describe the degrees of edema. The scale was piloted and then tested for interrater and intrarater reliability on 5 speech and language therapists. They viewed 25 nasendolaryngoscopic images (23 patients who had had radiotherapy and 2 healthy volunteers). The images were rated with the scale. This process was repeated 1 week later. Images were taken from patients with oral, oropharyngeal, nasopharyngeal, or laryngeal cancer. All had had radiotherapy or chemoradiotherapy. All raters were experienced in viewing larynges via nasendolaryngoscopy. The interrater reliability for scoring the edema rating scale was moderate (weighted kappa, 0.54). Lower levels of agreement were found for the tongue base, valleculae, pharyngeal walls, and anterior commissure. The intrarater reliability was very good (weighted kappa, 0.84). The edema rating scale can be scored with very good test-retest reproducibility and moderate levels of agreement between clinicians. Modifications to the method are suggested to increase interrater reliability."
