corpus,path,class_dir,group_dir,bytes,sha256
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/000e3fee-7f5c-4819-9f9c-4c983b68888a.jpg,cecum,anatomical-landmarks,243459,b7ff5052b53e0a4885a475b92e168f82aad1e98f9407983825d128348f36cacb
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/001a41c2-2a5d-40b1-8fd5-b5f2f292277b.jpg,cecum,anatomical-landmarks,208723,2a8a7f8b5bdaa4159f21f44bce9e6d7b3bc5156b285516d5f5efaeb454f55b2b
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/006af0aa-2044-4477-964d-10d9e043fb78.jpg,cecum,anatomical-landmarks,225958,96ef3cc9097b6115f08e25a31ef48fe91d5beaf6b2589606e9e1d07461e188b2
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/00832522-ab8e-4b98-bfce-93a777929571.jpg,cecum,anatomical-landmarks,236914,6ea66896b73d2f0950f3d3de15b7b692e5a47e542e7185d34d78ae8164560648
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/012ab888-64e6-4361-9745-f52b4a03ba75.jpg,cecum,anatomical-landmarks,243234,67306621bd5cc894f4becb23b275e7cc6f53a2c4fb9883e8f272998e9b8e7962
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/014a6880-6306-47ab-8766-adc17507b7c3.jpg,cecum,anatomical-landmarks,218417,6ec7219e87607ac5bf42a2dc85ceaa92def2fc01153741abd7ce9fc190261ab1
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/019975d6-14e2-4a71-9e35-934f2280fab6.jpg,cecum,anatomical-landmarks,253929,07afb6ae475f831945b3aa73e8572c261db6f252d94d3e2ff9cde1a666f9daef
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/01b2ec26-e814-4053-a820-37c9b703d47a.jpg,cecum,anatomical-landmarks,215525,9f3fe88c87a955318c3c6e6a6643b58a649fab6cf4cba3e0ec0ef871b5614d52
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/020945d2-ade3-4cf9-b15d-634729b2b4a2.jpg,cecum,anatomical-landmarks,223130,dbd8574ff22f98307a3f98f633ed544a96a1bf03e6d75bea27ab3769b0c92fd3
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/0225440c-73b0-4c5e-b4b4-5bfe306834c9.jpg,cecum,anatomical-landmarks,215612,86069db8aa98316a2f7cf020df12925f0684ea163d02985fac3ade3756f6b77f
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/022ade3a-d78e-49b6-a447-609bdc8da113.jpg,cecum,anatomical-landmarks,214415,151b201a5cfbd377f64e1aec5ea6d37ad5e54a5873cfe3d03a28485d5532ef63
hyperkvasir,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/02387cd3-612f-4358-a4d8-4f3116fb3db0.jpg,cecum,anatomical-landmarks,288583,9a25b362ffc1105bd57da149636775fd46bb9e2d0ace89d4e7fca26421bfc815
